original NL;original LTL;Spot LTL;APs;ap_NL;dict_AP;AP_lifted_dict;lifted_LTL;source;normalized_LTL_formula;lifted_lifted_LTL_formula;batch_id
whenever ( prop_1 ) until at some time ( prop_2 );F ( prop_1 U F prop_2 );F(prop_1 U F prop_2);['prop_1', 'prop_2'];;;;F(ap_0 U Fap_1);lifted_data_pureLTL.jsonl;F(prop U Fprop);F(prop U Fprop);2
It is always the case that whenever ( prop_2 ) , or the event that ( prop_1 ) is observed , then the following condition holds : for every time instant in the future before the end of the execution there must be a time in the future before the end of the execution , at which ( prop_3 ) .;G ( ( prop_2 | prop_1 ) -> G ( F prop_3 ) );G((prop_1 | prop_2) -> GF prop_3);['prop_1', 'prop_2', 'prop_3'];;;;G((ap_0 | ap_1) -> GFap_2);lifted_data_pureLTL.jsonl;G((prop | prop) -> GFprop);G((prop | prop) -> GFprop);2
At some point ( prop_3 ) should happen , and the above scenario is equivalent to the case that ( prop_2 ) and ( prop_1 ) are both true .;( F prop_3 <-> ( prop_2 & prop_1 ) );(prop_1 & prop_2) <-> F prop_3;['prop_1', 'prop_2', 'prop_3'];;;;(ap_0 & ap_1) <-> Fap_2;lifted_data_pureLTL.jsonl;(prop & prop) <-> Fprop;(prop & prop) <-> Fprop;2
The scenario that ( prop_1 ) implies ( prop_2 ) , which in turn implies ( prop_4 ) , the above condition continues until the scenario that ( prop_3 ) happens .;( ( ( prop_1 -> prop_2 ) -> prop_4 ) U prop_3 );((prop_1 -> prop_2) -> prop_4) U prop_3;['prop_1', 'prop_2', 'prop_3', 'prop_4'];;;;((ap_0 -> ap_1) -> ap_3) U ap_2;lifted_data_pureLTL.jsonl;((prop -> prop) -> prop) U prop;((prop -> prop) -> prop) U prop;2
On the way to achieve (prop_4), if (prop_2) occurs, then do (prop_1), but don't (prop_3) no matter what happens.;( prop_4 & ( prop_2 -> prop_1 ) & ! prop_3 );!prop_3 & prop_4 & (prop_2 -> prop_1);['prop_1', 'prop_2', 'prop_3', 'prop_4'];;;;!ap_2 & ap_3 & (ap_1 -> ap_0);lifted_data_pureLTL.jsonl;!prop & prop & (prop -> prop);!prop & prop & (prop -> prop);2
If at some point ( prop_1 ) then ( prop_2 ) happens and this scenario continues to hold until ( prop_4 ) is detected , this is equivalent to ( prop_3 ) .;( ( ( prop_1 -> prop_2 ) U prop_4 ) <-> prop_3 );prop_3 <-> ((prop_1 -> prop_2) U prop_4);['prop_1', 'prop_2', 'prop_3', 'prop_4'];;;;ap_2 <-> ((ap_0 -> ap_1) U ap_3);lifted_data_pureLTL.jsonl;prop <-> ((prop -> prop) U prop);prop <-> ((prop -> prop) U prop);2
(prop_1) and (prop_2).;( prop_1 & prop_2 );prop_1 & prop_2;['prop_1', 'prop_2'];;;;ap_0 & ap_1;lifted_data_pureLTL.jsonl;prop & prop;prop & prop;2
It is required that either ( prop_4 ) is equivalent to ( prop_2 ) keeps true until ( prop_3 ) , or else ( prop_1 ) .;( ( ( prop_4 <-> prop_2 ) U prop_3 ) | prop_1 );prop_1 | ((prop_2 <-> prop_4) U prop_3);['prop_1', 'prop_2', 'prop_3', 'prop_4'];;;;ap_0 | ((ap_1 <-> ap_3) U ap_2);lifted_data_pureLTL.jsonl;prop | ((prop <-> prop) U prop);prop | ((prop <-> prop) U prop);2
when at some time ( prop_1 ) , ( prop_2 );( F prop_1 -> prop_2 );F prop_1 -> prop_2;['prop_1', 'prop_2'];;;;Fap_0 -> ap_1;lifted_data_pureLTL.jsonl;Fprop -> prop;Fprop -> prop;2
Either (prop_1) and (prop_3) happens, or make sure (prop_2) eventually happens .;( ( prop_1 & prop_3 ) | F prop_2 );(prop_1 & prop_3) | F prop_2;['prop_1', 'prop_2', 'prop_3'];;;;(ap_0 & ap_2) | Fap_1;lifted_data_pureLTL.jsonl;(prop & prop) | Fprop;(prop & prop) | Fprop;2
If (prop_2) happens and continues until (prop_1) also happens, then (prop_3) should not be true .;( ( prop_2 U prop_1 ) -> ! prop_3 );(prop_2 U prop_1) -> !prop_3;['prop_1', 'prop_2', 'prop_3'];;;;(ap_1 U ap_0) -> !ap_2;lifted_data_pureLTL.jsonl;(prop U prop) -> !prop;(prop U prop) -> !prop;2
( prop_1 ) and at any time ( prop_2 );( prop_1 & F prop_2 );prop_1 & F prop_2;['prop_1', 'prop_2'];;;;ap_0 & Fap_1;lifted_data_pureLTL.jsonl;prop & Fprop;prop & Fprop;2
Guarantee that (prop_1);G prop_1;G prop_1;['prop_1'];;;;Gap_0;lifted_data_pureLTL.jsonl;Gprop;Gprop;2
don't ( prop_1 ) or ( prop_2 );! ( prop_1 | prop_2 );!(prop_1 | prop_2);['prop_1', 'prop_2'];;;;!(ap_0 | ap_1);lifted_data_pureLTL.jsonl;!(prop | prop);!(prop | prop);2
If it is not the case that ( prop_3 ) or ( prop_1 ) then ( prop_2 ) is true , and vice versa .;( ! ( prop_3 | prop_1 ) <-> prop_2 );prop_2 <-> !(prop_1 | prop_3);['prop_1', 'prop_2', 'prop_3'];;;;ap_1 <-> !(ap_0 | ap_2);lifted_data_pureLTL.jsonl;prop <-> !(prop | prop);prop <-> !(prop | prop);2
If (prop_1) and (prop_3) happen at the same time, then wait until (prop_2) or (prop_4) happens .;( ( prop_1 & prop_3 ) U ( prop_2 | prop_4 ) );(prop_1 & prop_3) U (prop_2 | prop_4);['prop_1', 'prop_2', 'prop_3', 'prop_4'];;;;(ap_0 & ap_2) U (ap_1 | ap_3);lifted_data_pureLTL.jsonl;(prop & prop) U (prop | prop);(prop & prop) U (prop | prop);2
If ( prop_3 ) then ( prop_1 ) at some point and this scenario continues until ( prop_4 ) is detected , and ( prop_2 ) .;( ( ( prop_3 -> prop_1 ) U prop_4 ) & prop_2 );prop_2 & ((prop_3 -> prop_1) U prop_4);['prop_1', 'prop_2', 'prop_3', 'prop_4'];;;;ap_1 & ((ap_2 -> ap_0) U ap_3);lifted_data_pureLTL.jsonl;prop & ((prop -> prop) U prop);prop & ((prop -> prop) U prop);2
repeatedly ( prop_1 ) or never ( prop_2 );G ( F prop_1 | G ( ! prop_2 ) );G(F prop_1 | G!prop_2);['prop_1', 'prop_2'];;;;G(Fap_0 | G!ap_1);lifted_data_pureLTL.jsonl;G(Fprop | G!prop);G(Fprop | G!prop);2
If it is the case that if ( prop_2 ) then ( prop_3 ) then ( prop_4 ) , then ( prop_1 ) .;( ( ( prop_2 -> prop_3 ) -> prop_4 ) -> prop_1 );((prop_2 -> prop_3) -> prop_4) -> prop_1;['prop_1', 'prop_2', 'prop_3', 'prop_4'];;;;((ap_1 -> ap_2) -> ap_3) -> ap_0;lifted_data_pureLTL.jsonl;((prop -> prop) -> prop) -> prop;((prop -> prop) -> prop) -> prop;2
It is not the case that ( prop_2 ) until ( prop_1 ) happens some time in the future, which is equal to ( prop_3 ) .;( ! ( prop_2 U prop_1 ) <-> prop_3 );prop_3 <-> !(prop_2 U prop_1);['prop_1', 'prop_2', 'prop_3'];;;;ap_2 <-> !(ap_1 U ap_0);lifted_data_pureLTL.jsonl;prop <-> !(prop U prop);prop <-> !(prop U prop);2
The scenario where ( prop_1 ) does not happen or ( prop_3 ) happens is equivalent to the scenario where ( prop_2 ) is always true.;( ( ! ( prop_1 ) | prop_3 ) <-> G prop_2 );(!prop_1 | prop_3) <-> G prop_2;['prop_1', 'prop_2', 'prop_3'];;;;(!ap_0 | ap_2) <-> Gap_1;lifted_data_pureLTL.jsonl;(!prop | prop) <-> Gprop;(!prop | prop) <-> Gprop;2
It is required that at some point ( prop_2 ) and ( prop_3 ) are detected and this is equivalent to the scenario in which ( prop_4 ) is detected , and this will happen until ( prop_1 ) is detected .;( ( ( prop_2 & prop_3 ) <-> prop_4 ) U prop_1 );(prop_4 <-> (prop_2 & prop_3)) U prop_1;['prop_1', 'prop_2', 'prop_3', 'prop_4'];;;;(ap_3 <-> (ap_1 & ap_2)) U ap_0;lifted_data_pureLTL.jsonl;(prop <-> (prop & prop)) U prop;(prop <-> (prop & prop)) U prop;2
If (prop_1) is always true, then (prop_2) should be equivalent to (prop_3) .;( G prop_1 -> ( prop_2 <-> prop_3 ) );G prop_1 -> (prop_2 <-> prop_3);['prop_1', 'prop_2', 'prop_3'];;;;Gap_0 -> (ap_1 <-> ap_2);lifted_data_pureLTL.jsonl;Gprop -> (prop <-> prop);Gprop -> (prop <-> prop);2
If at some point ( prop_2 ) then ( prop_1 ) happens and this scenario will hold until ( prop_4 ) is detected , or else ( prop_3 ) .;( ( ( prop_2 -> prop_1 ) U prop_4 ) | prop_3 );prop_3 | ((prop_2 -> prop_1) U prop_4);['prop_1', 'prop_2', 'prop_3', 'prop_4'];;;;ap_2 | ((ap_1 -> ap_0) U ap_3);lifted_data_pureLTL.jsonl;prop | ((prop -> prop) U prop);prop | ((prop -> prop) U prop);2
It is always the case that when the event that ( prop_1 ) gets detected then the following condition is true : ( prop_2 ) .;G ( prop_1 -> prop_2 );G(prop_1 -> prop_2);['prop_1', 'prop_2'];;;;G(ap_0 -> ap_1);lifted_data_pureLTL.jsonl;G(prop -> prop);G(prop -> prop);2
repeatedly ( prop_1 ) means that at some time ( prop_2 );( G ( F prop_1 ) -> F prop_2 );GF prop_1 -> F prop_2;['prop_1', 'prop_2'];;;;GFap_0 -> Fap_1;lifted_data_pureLTL.jsonl;GFprop -> Fprop;GFprop -> Fprop;2
It is always the case that while ( prop_3 ) then starting without any delay the event that ( prop_2 ) ought never to get detected and promptly ( prop_1 ) .;G ( prop_3 -> ( prop_2 & prop_1 ) );G(prop_3 -> (prop_1 & prop_2));['prop_1', 'prop_2', 'prop_3'];;;;G(ap_2 -> (ap_0 & ap_1));lifted_data_pureLTL.jsonl;G(prop -> (prop & prop));G(prop -> (prop & prop));2
If (prop_3) and (prop_2), then (prop_1) should not happen .;( ( prop_3 & prop_2 ) -> ! prop_1 );(prop_2 & prop_3) -> !prop_1;['prop_1', 'prop_2', 'prop_3'];;;;(ap_1 & ap_2) -> !ap_0;lifted_data_pureLTL.jsonl;(prop & prop) -> !prop;(prop & prop) -> !prop;2
It is always the case that when ( prop_2 ) and ( prop_3 ) then the following condition is true : immediately ( prop_1 ) or the scenario that ( prop_4 ) shall be detected in no time .;G ( ( prop_2 & prop_3 ) -> ( prop_1 | prop_4 ) );G((prop_2 & prop_3) -> (prop_1 | prop_4));['prop_1', 'prop_2', 'prop_3', 'prop_4'];;;;G((ap_1 & ap_2) -> (ap_0 | ap_3));lifted_data_pureLTL.jsonl;G((prop & prop) -> (prop | prop));G((prop & prop) -> (prop | prop));2
at some time ( prop_1 ) or always ( prop_2 );F ( prop_1 | G prop_2 );F(prop_1 | G prop_2);['prop_1', 'prop_2'];;;;F(ap_0 | Gap_1);lifted_data_pureLTL.jsonl;F(prop | Gprop);F(prop | Gprop);2
If ( prop_2 ) and ( prop_3 ) are equivalent, or else if ( prop_1 ), or else ( prop_4 ) .;( ( ( prop_2 <-> prop_3 ) | prop_1 ) | prop_4 );prop_1 | prop_4 | (prop_2 <-> prop_3);['prop_1', 'prop_2', 'prop_3', 'prop_4'];;;;ap_0 | ap_3 | (ap_1 <-> ap_2);lifted_data_pureLTL.jsonl;prop | prop | (prop <-> prop);prop | prop | (prop <-> prop);2
when never ( prop_1 ) , when possible ( prop_2 );( G ( ! prop_1 ) -> F prop_2 );G!prop_1 -> F prop_2;['prop_1', 'prop_2'];;;;G!ap_0 -> Fap_1;lifted_data_pureLTL.jsonl;G!prop -> Fprop;G!prop -> Fprop;2
If (prop_3), (prop_2) until (prop_1).;( prop_3 -> ( prop_2 U prop_1 ) );prop_3 -> (prop_2 U prop_1);['prop_1', 'prop_2', 'prop_3'];;;;ap_2 -> (ap_1 U ap_0);lifted_data_pureLTL.jsonl;prop -> (prop U prop);prop -> (prop U prop);2
The scenario that ( prop_3 ) or the scenario that ( prop_1 ) or the scenario that ( prop_4 ) or the scenario that ( prop_2 ) should be detected .;( ( ( prop_3 | prop_1 ) | prop_4 ) | prop_2 );prop_1 | prop_2 | prop_3 | prop_4;['prop_1', 'prop_2', 'prop_3', 'prop_4'];;;;ap_0 | ap_1 | ap_2 | ap_3;lifted_data_pureLTL.jsonl;prop | prop | prop | prop;prop | prop | prop | prop;2
If (prop_1), (prop_2) until (prop_3).;prop_1 -> ( prop_2 U prop_3 );prop_1 -> (prop_2 U prop_3);['prop_1', 'prop_2', 'prop_3'];;;;ap_0 -> (ap_1 U ap_2);lifted_data_pureLTL.jsonl;prop -> (prop U prop);prop -> (prop U prop);2
( prop_4 ) or ( prop_2 ) happens if and only if ( prop_3 ) happens and continues until ( prop_1 ) happens .;( ( prop_4 | prop_2 ) <-> ( prop_3 U prop_1 ) );(prop_2 | prop_4) <-> (prop_3 U prop_1);['prop_1', 'prop_2', 'prop_3', 'prop_4'];;;;(ap_1 | ap_3) <-> (ap_2 U ap_0);lifted_data_pureLTL.jsonl;(prop | prop) <-> (prop U prop);(prop | prop) <-> (prop U prop);2
If ( prop_4 ) then ( prop_1 ) , and also ( prop_2 ) happens or else ( prop_3 ) .;( ( ( prop_4 -> prop_1 ) & prop_2 ) | prop_3 );prop_3 | (prop_2 & (prop_4 -> prop_1));['prop_1', 'prop_2', 'prop_3', 'prop_4'];;;;ap_2 | (ap_1 & (ap_3 -> ap_0));lifted_data_pureLTL.jsonl;prop | (prop & (prop -> prop));prop | (prop & (prop -> prop));2
At some point ( prop_2 ) and ( prop_4 ) , or else ( prop_3 ) , or else ( prop_1 ) .;( ( ( prop_2 & prop_4 ) | prop_3 ) | prop_1 );prop_1 | prop_3 | (prop_2 & prop_4);['prop_1', 'prop_2', 'prop_3', 'prop_4'];;;;ap_0 | ap_2 | (ap_1 & ap_3);lifted_data_pureLTL.jsonl;prop | prop | (prop & prop);prop | prop | (prop & prop);2
if never ( prop_1 ) , at some time ( prop_2 );( G ( ! prop_1 ) -> F prop_2 );G!prop_1 -> F prop_2;['prop_1', 'prop_2'];;;;G!ap_0 -> Fap_1;lifted_data_pureLTL.jsonl;G!prop -> Fprop;G!prop -> Fprop;2
(prop_2) is equivalent to (prop_1) and always (prop_3) .;( ( prop_2 <-> prop_1 ) & G prop_3 );(prop_1 <-> prop_2) & G prop_3;['prop_1', 'prop_2', 'prop_3'];;;;(ap_0 <-> ap_1) & Gap_2;lifted_data_pureLTL.jsonl;(prop <-> prop) & Gprop;(prop <-> prop) & Gprop;2
If ( prop_3 ) then ( prop_2 ) , or else ( prop_1 ) , and also ( prop_4 ) .;( ( ( prop_3 -> prop_2 ) | prop_1 ) & prop_4 );prop_4 & (prop_1 | (prop_3 -> prop_2));['prop_1', 'prop_2', 'prop_3', 'prop_4'];;;;ap_3 & (ap_0 | (ap_2 -> ap_1));lifted_data_pureLTL.jsonl;prop & (prop | (prop -> prop));prop & (prop | (prop -> prop));2
Either ( prop_4 ) is equivalent to ( prop_3 ), or ( prop_2 ) or ( prop_1 ) should happen.;( ( prop_4 <-> prop_3 ) | ( prop_2 | prop_1 ) );prop_1 | prop_2 | (prop_3 <-> prop_4);['prop_1', 'prop_2', 'prop_3', 'prop_4'];;;;ap_0 | ap_1 | (ap_2 <-> ap_3);lifted_data_pureLTL.jsonl;prop | prop | (prop <-> prop);prop | prop | (prop <-> prop);2
It is required that at some point in the future ( prop_3 ) happens , and at the same time ( prop_2 ) and ( prop_1 ) should also happen .;( F prop_3 & ( prop_2 & prop_1 ) );prop_1 & prop_2 & F prop_3;['prop_1', 'prop_2', 'prop_3'];;;;ap_0 & ap_1 & Fap_2;lifted_data_pureLTL.jsonl;prop & prop & Fprop;prop & prop & Fprop;2
Either keep (prop_3) all the time or else occasionally do (prop_1) or (prop_2) .;( G prop_3 | ( prop_1 | prop_2 ) );prop_1 | prop_2 | G prop_3;['prop_1', 'prop_2', 'prop_3'];;;;ap_0 | ap_1 | Gap_2;lifted_data_pureLTL.jsonl;prop | prop | Gprop;prop | prop | Gprop;2
If (prop_1), then (prop_2), or always (prop_3) .;( ( prop_1 -> prop_2 ) | G prop_3 );(prop_1 -> prop_2) | G prop_3;['prop_1', 'prop_2', 'prop_3'];;;;(ap_0 -> ap_1) | Gap_2;lifted_data_pureLTL.jsonl;(prop -> prop) | Gprop;(prop -> prop) | Gprop;2
Either (prop_1) and (prop_4) should happen at the same time, or (prop_3) and (prop_2) should happen at the same time .;( ( prop_1 & prop_4 ) | ( prop_3 & prop_2 ) );(prop_1 & prop_4) | (prop_2 & prop_3);['prop_1', 'prop_2', 'prop_3', 'prop_4'];;;;(ap_0 & ap_3) | (ap_1 & ap_2);lifted_data_pureLTL.jsonl;(prop & prop) | (prop & prop);(prop & prop) | (prop & prop);2
If you do (prop_4) and observe (prop_2), then keep doing it until you also see (prop_3), at which point you should do (prop_1) .;( ( prop_4 & prop_2 ) U ( prop_3 -> prop_1 ) );(prop_2 & prop_4) U (prop_3 -> prop_1);['prop_1', 'prop_2', 'prop_3', 'prop_4'];;;;(ap_1 & ap_3) U (ap_2 -> ap_0);lifted_data_pureLTL.jsonl;(prop & prop) U (prop -> prop);(prop & prop) U (prop -> prop);2
don't ( prop_1 ) or when possible ( prop_2 );! ( F prop_1 | F prop_2 );!(F prop_1 | F prop_2);['prop_1', 'prop_2'];;;;!(Fap_0 | Fap_1);lifted_data_pureLTL.jsonl;!(Fprop | Fprop);!(Fprop | Fprop);2
It is not the case that ( prop_2 ) happens until ( prop_1 ) , or else ( prop_3 ) .;( ! ( prop_2 U prop_1 ) | prop_3 );prop_3 | !(prop_2 U prop_1);['prop_1', 'prop_2', 'prop_3'];;;;ap_2 | !(ap_1 U ap_0);lifted_data_pureLTL.jsonl;prop | !(prop U prop);prop | !(prop U prop);2
At some point ( prop_2 ) should happen and then ( prop_1 ) , or else ( prop_3 ) .;( F ( prop_2 -> prop_1 ) | prop_3 );prop_3 | F(prop_2 -> prop_1);['prop_1', 'prop_2', 'prop_3'];;;;ap_2 | F(ap_1 -> ap_0);lifted_data_pureLTL.jsonl;prop | F(prop -> prop);prop | F(prop -> prop);2
Either (prop_3) and (prop_2) happen at the same time, or else (prop_4) or (prop_1) happens .;( ( prop_3 & prop_2 ) | ( prop_4 | prop_1 ) );prop_1 | prop_4 | (prop_2 & prop_3);['prop_1', 'prop_2', 'prop_3', 'prop_4'];;;;ap_0 | ap_3 | (ap_1 & ap_2);lifted_data_pureLTL.jsonl;prop | prop | (prop & prop);prop | prop | (prop & prop);2
It is always the case that everytime when ( prop_3 ) or ( prop_2 ) , then all of the following conditions hold : ( prop_4 ) and ( prop_1 ) .;G ( ( prop_3 | prop_2 ) -> ( prop_4 & prop_1 ) );G((prop_2 | prop_3) -> (prop_1 & prop_4));['prop_1', 'prop_2', 'prop_3', 'prop_4'];;;;G((ap_1 | ap_2) -> (ap_0 & ap_3));lifted_data_pureLTL.jsonl;G((prop | prop) -> (prop & prop));G((prop | prop) -> (prop & prop));2
If either (prop_1) or (prop_2) is true, then (prop_3) should not be true, and vice versa .;( ( prop_1 | prop_2 ) <-> ! prop_3 );!prop_3 <-> (prop_1 | prop_2);['prop_1', 'prop_2', 'prop_3'];;;;!ap_2 <-> (ap_0 | ap_1);lifted_data_pureLTL.jsonl;!prop <-> (prop | prop);!prop <-> (prop | prop);2
As long as (prop_1) is always true, or else if (prop_2) then (prop_3) .;( G prop_1 | ( prop_2 -> prop_3 ) );(prop_2 -> prop_3) | G prop_1;['prop_1', 'prop_2', 'prop_3'];;;;(ap_1 -> ap_2) | Gap_0;lifted_data_pureLTL.jsonl;(prop -> prop) | Gprop;(prop -> prop) | Gprop;2
( prop_1 ) or do not ( prop_2 );( prop_1 | ! prop_2 );prop_1 | !prop_2;['prop_1', 'prop_2'];;;;ap_0 | !ap_1;lifted_data_pureLTL.jsonl;prop | !prop;prop | !prop;2
Get (prop_2) done, and make sure the scenario of (prop_3) is the same as the scenario of (prop_1) .;( F prop_2 & ( prop_3 <-> prop_1 ) );(prop_1 <-> prop_3) & F prop_2;['prop_1', 'prop_2', 'prop_3'];;;;(ap_0 <-> ap_2) & Fap_1;lifted_data_pureLTL.jsonl;(prop <-> prop) & Fprop;(prop <-> prop) & Fprop;2
Do (prop_4) and (prop_3) , and also do (prop_2) and (prop_1) .;( ( prop_4 & prop_3 ) & ( prop_2 & prop_1 ) );prop_1 & prop_2 & prop_3 & prop_4;['prop_1', 'prop_2', 'prop_3', 'prop_4'];;;;ap_0 & ap_1 & ap_2 & ap_3;lifted_data_pureLTL.jsonl;prop & prop & prop & prop;prop & prop & prop & prop;2
Globally , whenever ( prop_4 ) , or ( prop_3 ) then the following condition is true : ( prop_1 ) , and at the same time ( prop_2 ) .;G ( ( prop_4 | prop_3 ) -> ( prop_1 & prop_2 ) );G((prop_3 | prop_4) -> (prop_1 & prop_2));['prop_1', 'prop_2', 'prop_3', 'prop_4'];;;;G((ap_2 | ap_3) -> (ap_0 & ap_1));lifted_data_pureLTL.jsonl;G((prop | prop) -> (prop & prop));G((prop | prop) -> (prop & prop));2
If (prop_3) then (prop_2) only if (prop_1) is not true .;( ( prop_3 -> prop_2 ) -> ! prop_1 );(prop_3 -> prop_2) -> !prop_1;['prop_1', 'prop_2', 'prop_3'];;;;(ap_2 -> ap_1) -> !ap_0;lifted_data_pureLTL.jsonl;(prop -> prop) -> !prop;(prop -> prop) -> !prop;2
If it is not the case that ( prop_3 ) or ( prop_1 ) then ( prop_2 ) .;( ! ( prop_3 | prop_1 ) -> prop_2 );!(prop_1 | prop_3) -> prop_2;['prop_1', 'prop_2', 'prop_3'];;;;!(ap_0 | ap_2) -> ap_1;lifted_data_pureLTL.jsonl;!(prop | prop) -> prop;!(prop | prop) -> prop;2
at any time ( prop_1 ) or forever ( prop_2 );F ( prop_1 | G prop_2 );F(prop_1 | G prop_2);['prop_1', 'prop_2'];;;;F(ap_0 | Gap_1);lifted_data_pureLTL.jsonl;F(prop | Gprop);F(prop | Gprop);2
On condition that the transition action that ( prop_3 ) is observed , then the following condition is true : there will have to exist a certain time instant in the future before the end of the execution finally , at which ( prop_2 ) , and before ( prop_1 ) .;G ( prop_3 -> ( prop_2 U prop_1 ) );G(prop_3 -> (prop_2 U prop_1));['prop_1', 'prop_2', 'prop_3'];;;;G(ap_2 -> (ap_1 U ap_0));lifted_data_pureLTL.jsonl;G(prop -> (prop U prop));G(prop -> (prop U prop));2
never ( prop_1 ) and never ( prop_2 );G ( ! prop_1 & G ( ! prop_2 ) );G(!prop_1 & G!prop_2);['prop_1', 'prop_2'];;;;G(!ap_0 & G!ap_1);lifted_data_pureLTL.jsonl;G(!prop & G!prop);G(!prop & G!prop);2
Always (prop_1);G prop_1;G prop_1;['prop_1'];;;;Gap_0;lifted_data_pureLTL.jsonl;Gprop;Gprop;2
Globally , everytime when ( prop_1 ) then all of the following conditions are true : for each time point in the future until the execution ends , there will have to be a certain time instant in the future ultimately , at which the transition action that ( prop_2 ) shall take place .;G ( prop_1 -> G ( F prop_2 ) );G(prop_1 -> GF prop_2);['prop_1', 'prop_2'];;;;G(ap_0 -> GFap_1);lifted_data_pureLTL.jsonl;G(prop -> GFprop);G(prop -> GFprop);2
When ( prop_3 ) and the transition action that ( prop_1 ) gets detected , then all of the following conditions hold : at sometime in the future before the end of the simulation , ( prop_2 ) and then uninterruptedly this scenario ought to hold in the future till the simulation ends .;G ( ( prop_3 & prop_1 ) -> F ( G prop_2 ) );G((prop_1 & prop_3) -> FG prop_2);['prop_1', 'prop_2', 'prop_3'];;;;G((ap_0 & ap_2) -> FGap_1);lifted_data_pureLTL.jsonl;G((prop & prop) -> FGprop);G((prop & prop) -> FGprop);2
If (prop_2) is equal to (prop_3), then make sure (prop_1) is true for all time afterward .;( ( prop_2 <-> prop_3 ) -> G prop_1 );(prop_2 <-> prop_3) -> G prop_1;['prop_1', 'prop_2', 'prop_3'];;;;(ap_1 <-> ap_2) -> Gap_0;lifted_data_pureLTL.jsonl;(prop <-> prop) -> Gprop;(prop <-> prop) -> Gprop;2
The scenario in which (prop_4) implies (prop_2) is equivalent to the scenario in which (prop_1) and (prop_3) both happen .;( ( prop_4 -> prop_2 ) <-> ( prop_1 & prop_3 ) );(prop_4 -> prop_2) <-> (prop_1 & prop_3);['prop_1', 'prop_2', 'prop_3', 'prop_4'];;;;(ap_3 -> ap_1) <-> (ap_0 & ap_2);lifted_data_pureLTL.jsonl;(prop -> prop) <-> (prop & prop);(prop -> prop) <-> (prop & prop);2
Globally , while ( prop_1 ) , and ( prop_3 ) then the following condition shall not be true : ( prop_2 ) .;G ( ( prop_1 & prop_3 ) -> ! ( F prop_2 ) );G((prop_1 & prop_3) -> !F prop_2);['prop_1', 'prop_2', 'prop_3'];;;;G((ap_0 & ap_2) -> !Fap_1);lifted_data_pureLTL.jsonl;G((prop & prop) -> !Fprop);G((prop & prop) -> !Fprop);2
If at some point ( prop_1 ) happens and continues to happen until ( prop_3 ) , and also ( prop_4 ) , or else ( prop_2 ) .;( ( ( prop_1 U prop_3 ) & prop_4 ) | prop_2 );prop_2 | (prop_4 & (prop_1 U prop_3));['prop_1', 'prop_2', 'prop_3', 'prop_4'];;;;ap_1 | (ap_3 & (ap_0 U ap_2));lifted_data_pureLTL.jsonl;prop | (prop & (prop U prop));prop | (prop & (prop U prop));2
If at a certain time instant ( prop_2 ) or ( prop_4 ) or ( prop_3 ) is detected then in response ( prop_1 ) should be satisfied .;( ( ( prop_2 | prop_4 ) | prop_3 ) -> prop_1 );(prop_2 | prop_3 | prop_4) -> prop_1;['prop_1', 'prop_2', 'prop_3', 'prop_4'];;;;(ap_1 | ap_2 | ap_3) -> ap_0;lifted_data_pureLTL.jsonl;(prop | prop | prop) -> prop;(prop | prop | prop) -> prop;2
If either ( prop_3 ) or ( prop_1 ) happens, then both ( prop_4 ) and ( prop_2 ) should happen.;( ( prop_3 | prop_1 ) -> ( prop_4 & prop_2 ) );(prop_1 | prop_3) -> (prop_2 & prop_4);['prop_1', 'prop_2', 'prop_3', 'prop_4'];;;;(ap_0 | ap_2) -> (ap_1 & ap_3);lifted_data_pureLTL.jsonl;(prop | prop) -> (prop & prop);(prop | prop) -> (prop & prop);2
The scenario in which (prop_2) is equivalent to the scenario in which (prop_1) happens, and in the meantime (prop_3) does not happen .;( ( prop_2 <-> prop_1 ) & ! prop_3 );!prop_3 & (prop_1 <-> prop_2);['prop_1', 'prop_2', 'prop_3'];;;;!ap_2 & (ap_0 <-> ap_1);lifted_data_pureLTL.jsonl;!prop & (prop <-> prop);!prop & (prop <-> prop);2
( prop_1 ) and never ( prop_2 );( prop_1 & G ( ! prop_2 ) );prop_1 & G!prop_2;['prop_1', 'prop_2'];;;;ap_0 & G!ap_1;lifted_data_pureLTL.jsonl;prop & G!prop;prop & G!prop;2
